add-none,2,100,400,106175,265,0
add-none,2,1000,4000,131677,32,871
add-none,2,10000,40000,759252,18,968
add-none,2,100000,400000,5242764,13,358
add-none,4,100,800,131734,164,0
add-none,4,1000,8000,198899,24,1205
add-none,4,10000,80000,1434215,17,-5167
add-none,4,100000,800000,12259325,15,-6392
add-none,8,100,1600,238540,149,0
add-none,8,1000,16000,398884,24,1345
add-none,8,10000,160000,2805960,17,-4961
add-none,8,100000,1600000,28656610,17,-25877
add-none,12,100,2400,348810,145,0
add-none,12,1000,24000,544127,22,-647
add-none,12,10000,240000,4408166,18,-11655
add-none,12,100000,2400000,39370460,16,-147063
add-yield-none,2,10,40,111341,2783,6
add-yield-none,4,10,80,152680,1908,10
add-yield-none,8,10,160,236359,1477,19
add-yield-none,12,10,240,337079,1404,18
add-yield-none,2,20,80,125916,1573,6
add-yield-none,4,20,160,173746,1085,27
add-yield-none,8,20,320,238215,744,70
add-yield-none,12,20,480,363839,757,106
add-yield-none,2,40,160,156342,977,5
add-yield-none,4,40,320,207572,648,46
add-yield-none,8,40,640,288198,450,50
add-yield-none,12,40,960,389749,405,103
add-yield-none,2,80,320,225470,704,5
add-yield-none,4,80,640,288191,450,47
add-yield-none,8,80,1280,385225,300,120
add-yield-none,12,80,1920,509298,265,90
add-yield-none,2,100,400,269999,674,8
add-yield-none,4,100,800,271421,339,40
add-yield-none,8,100,1600,424659,265,116
add-yield-none,12,100,2400,578008,240,-6
add-yield-none,2,1000,4000,1766525,441,0
add-yield-none,4,1000,8000,1835108,229,49
add-yield-none,8,1000,16000,2131478,133,123
add-yield-none,12,1000,24000,3210005,133,168
add-yield-none,2,10000,40000,17244161,431,2
add-yield-none,4,10000,80000,17354850,216,50
add-yield-none,8,10000,160000,18967909,118,112
add-yield-none,12,10000,240000,39845666,166,-408
add-yield-none,2,100000,400000,167511716,418,-307
add-yield-none,4,100000,800000,298171308,372,-30799
add-yield-none,8,100000,1600000,352524698,220,-43466
add-yield-none,12,100000,2400000,457364231,190,-152849
add-none,1,100,200,106106,530,0
add-none,1,1000,2000,115514,57,0
add-none,1,10000,20000,278344,13,0
add-none,1,100000,200000,2178215,10,0
add-none,1,1000000,2000000,20644996,10,0
add-none,2,100,400,90159,225,0
add-none,2,1000,4000,124759,31,408
add-none,2,10000,40000,773803,19,155
add-none,2,100000,400000,6180189,15,-558
add-none,2,1000000,4000000,66490736,16,-99073
add-none,4,100,800,175402,219,10
add-none,4,1000,8000,257558,32,-622
add-none,4,10000,80000,1640693,20,-2921
add-none,4,100000,800000,15328140,19,-75686
add-none,4,1000000,8000000,159653342,19,-446682
add-yield-none,1,100,200,269981,1349,0
add-yield-none,1,1000,2000,1740083,870,0
add-yield-none,1,10000,20000,17368245,868,0
add-yield-none,1,100000,200000,173020029,865,0
add-yield-none,1,1000000,2000000,1728909932,864,0
add-yield-none,2,100,400,344602,861,17
add-yield-none,2,1000,4000,9258217,2314,40
add-yield-none,2,10000,40000,71870800,1796,30
add-yield-none,2,100000,400000,258299218,645,-36130
add-yield-none,2,1000000,4000000,1995936401,498,-169333
add-yield-none,4,100,800,1417581,1771,73
add-yield-none,4,1000,8000,12090204,1511,71
add-yield-none,4,10000,80000,119914695,1498,39
add-yield-none,4,100000,800000,1170487632,1463,-77985
